country_code,country_name,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11
HRV,Croatia,0.0,6.0,861.0,1209.0,170.0,531.0,2362.0,5130.0,6324.0,32723.0,79126.0,82395.0,21589.0,10547.0,28659.0,60551.0,23998.0,3691.0,3743.0,10383.0,30792.0,65558.0,137857.0
HTI,Haiti,0.0,0.0,15.0,61.0,1508.0,4263.0,1531.0,831.0,531.0,314.0,218.0,727.0,1534.0,897.0,328.0,298.0,1295.0,4211.0,1515.0,819.0,751.0,2313.0,1215.0
HUN,Hungary,0.0,0.0,492.0,2283.0,1101.0,279.0,350.0,1634.0,20322.0,48860.0,141801.0,105392.0,45072.0,61013.0,223834.0,126915.0,25190.0,3590.0,1363.0,2846.0,10368.0,40714.0,239689.0
IDN,Indonesia,0.0,0.0,1528.0,8590.0,16355.0,29912.0,51991.0,66420.0,112212.0,123080.0,128795.0,204315.0,335116.0,256320.0,177078.0,156656.0,153335.0,356569.0,1231386.0,680143.0,125303.0,29254.0,12051.0
IND,India,1.0,2.0,1394.0,33466.0,155746.0,394872.0,1110507.0,1995178.0,2621418.0,1871498.0,1278727.0,823900.0,470901.0,354631.0,1109424.0,6943304.0,9010075.0,2236590.0,1244190.0,1155021.0,955862.0,519107.0,310962.0
IRL,Ireland,0.0,1.0,3234.0,17377.0,4378.0,483.0,592.0,2746.0,7344.0,25301.0,11088.0,19235.0,104768.0,23045.0,16262.0,13016.0,13173.0,9865.0,29068.0,51471.0,37485.0,55662.0,124521.0
IRN,Iran,0.0,593.0,44012.0,50035.0,56826.0,76196.0,76542.0,71008.0,82007.0,155553.0,349298.0,263072.0,192857.0,213170.0,254395.0,613513.0,414059.0,291421.0,666451.0,1121055.0,594977.0,337598.0,192807.0
IRQ,Iraq,0.0,13.0,681.0,1391.0,4354.0,42670.0,75500.0,110325.0,128047.0,109649.0,79919.0,42742.0,24345.0,75853.0,155435.0,214275.0,136153.0,144552.0,280695.0,261551.0,115153.0,51945.0,25924.0
ISL,Iceland,0.0,1.0,1134.0,662.0,9.0,18.0,61.0,222.0,621.0,2137.0,527.0,362.0,248.0,47.0,156.0,267.0,104.0,73.0,1310.0,2830.0,1012.0,1691.0,4402.0
ISR,Israel,0.0,6.0,5711.0,10179.0,1183.0,8359.0,46296.0,45172.0,130505.0,66938.0,22842.0,86071.0,220173.0,132372.0,57298.0,5376.0,994.0,2302.0,32241.0,192334.0,215866.0,45240.0,16202.0
ITA,Italy,2.0,1126.0,104664.0,99671.0,27534.0,7581.0,6959.0,21677.0,45647.0,364569.0,922124.0,505612.0,445866.0,372233.0,659634.0,437754.0,195168.0,42088.0,90119.0,189963.0,132364.0,99610.0,256582.0
JAM,Jamaica,0.0,0.0,36.0,386.0,164.0,116.0,176.0,1581.0,4023.0,2612.0,1669.0,2064.0,2826.0,7610.0,15974.0,6341.0,2979.0,1567.0,2771.0,15236.0,15606.0,5277.0,2235.0
JOR,Jordan,0.0,0.0,274.0,179.0,286.0,393.0,61.0,841.0,9791.0,60782.0,146823.0,75064.0,32361.0,64235.0,220487.0,99796.0,25161.0,14870.0,19308.0,26414.0,26793.0,38622.0,91402.0
JPN,Japan,15.0,230.0,2010.0,12029.0,2457.0,1864.0,17651.0,32129.0,15194.0,17744.0,47501.0,86925.0,154991.0,41896.0,42450.0,117685.0,153716.0,53096.0,127021.0,567768.0,210700.0,17271.0,4293.0
KAZ,Kazakhstan,0.0,0.0,343.0,3059.0,7456.0,11450.0,68059.0,40306.0,10034.0,8992.0,24864.0,26633.0,34648.0,26871.0,34757.0,78067.0,67396.0,39751.0,150783.0,230112.0,99261.0,57422.0,34708.0
KEN,Kenya,0.0,0.0,59.0,337.0,1566.0,4404.0,14270.0,13565.0,4328.0,16663.0,28426.0,12840.0,4315.0,5200.0,28085.0,25260.0,11417.0,13426.0,19052.0,32650.0,13571.0,3876.0,1778.0
KGZ,Kyrgyz Republic,0.0,0.0,107.0,639.0,1002.0,3758.0,30299.0,8093.0,2771.0,12209.0,14300.0,7856.0,3554.0,1663.0,2287.0,6737.0,9454.0,20274.0,37889.0,12842.0,2798.0,2727.0,2092.0
KHM,Cambodia,1.0,0.0,108.0,13.0,3.0,16.0,98.0,35.0,3.0,14.0,35.0,52.0,88.0,354.0,1620.0,10962.0,16692.0,20291.0,26858.0,15812.0,19596.0,5871.0,1612.0
KIR,Kiribati,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
KOR,South Korea,11.0,3139.0,6636.0,988.0,729.0,1347.0,1486.0,5846.0,3707.0,2746.0,8017.0,27117.0,16739.0,11523.0,13608.0,18995.0,18165.0,16924.0,42064.0,53658.0,60328.0,52613.0,85964.0
KWT,Kuwait,0.0,45.0,244.0,3735.0,23019.0,19152.0,20762.0,18152.0,20073.0,20744.0,16709.0,7949.0,14673.0,25595.0,41251.0,41888.0,35231.0,47465.0,41144.0,12029.0,1795.0,1023.0,684.0
LAO,Laos,0.0,0.0,9.0,10.0,0.0,0.0,1.0,2.0,1.0,1.0,15.0,2.0,3.0,1.0,4.0,708.0,1155.0,209.0,4178.0,8716.0,8831.0,16425.0,33467.0
LBN,Lebanon,0.0,4.0,466.0,255.0,495.0,558.0,2777.0,12753.0,22326.0,41594.0,46716.0,53559.0,119549.0,73998.0,93350.0,58178.0,13810.0,4478.0,16514.0,40886.0,21964.0,17794.0,28632.0
LBR,Liberia,0.0,0.0,3.0,138.0,139.0,490.0,411.0,122.0,36.0,87.0,172.0,202.0,139.0,71.0,43.0,46.0,80.0,1721.0,1504.0,190.0,205.0,13.0,12.0
