country_name,country_code,2020-06_gov,2020-06_cases,Cluster
Aruba,ABW,49.08,1.0986122886681098,3
Afghanistan,AFG,60.35,9.69683231872672,2
Angola,AGO,55.77,5.293304824724492,1
Albania,ALB,65.15,7.243512974665482,1
Andorra,AND,51.18,4.5217885770490405,1
United Arab Emirates,ARE,65.73,9.55470991405776,2
Argentina,ARG,77.95,10.772267301739232,2
Australia,AUS,52.82,6.577861357721047,0
Austria,AUT,56.91,6.943122422819428,1
Azerbaijan,AZE,71.53,9.395241931033524,2
Burundi,BDI,13.02,4.68213122712422,3
Belgium,BEL,60.74,8.021912778985708,2
Benin,BEN,45.14,6.875232087276577,0
Burkina Faso,BFA,38.54,4.7535901911063645,0
Bangladesh,BGD,58.46,11.496094617558756,2
Bulgaria,BGR,41.3,7.814803429489359,0
Bahrain,BHR,74.34,9.639587108749145,2
Bahamas,BHS,75.55,1.0986122886681098,1
Bosnia and Herzegovina,BIH,45.66,7.572502985020384,0
Belarus,BLR,33.85,9.881395306061313,0
Belize,BLZ,59.89,1.9459101490553132,1
Bermuda,BMU,63.02,1.9459101490553132,1
Bolivia,BOL,70.43,10.053544148742807,2
Brazil,BRA,67.71,13.695817824996185,2
Barbados,BRB,62.57,1.791759469228055,1
Brunei,BRN,47.57,0.0,3
Bhutan,BTN,70.31,3.5553480614894135,1
Botswana,BWA,51.22,5.262690188904886,1
Central African Republic,CAF,48.17,7.913886714856082,0
Canada,CAN,61.54,9.51355124604559,2
Switzerland,CHE,47.26,6.748759547491679,0
Chile,CHL,70.84,11.956610785898091,2
China,CHN,68.63,6.249975242259483,1
Cote d'Ivoire,CIV,52.54,8.80492526261806,0
Cameroon,CMR,50.52,8.808219665118408,0
Democratic Republic of Congo,COD,62.24,8.286521373681236,2
Congo,COG,55.7,6.1675164908883415,1
Colombia,COL,81.25,11.134063338656597,2
Cape Verde,CPV,75.19,6.675823221634848,2
Costa Rica,CRI,56.28,7.784889295655098,1
Cuba,CUB,77.94,5.6937321388027,1
Cyprus,CYP,67.78,3.9889840465642745,1
Czech Republic,CZE,46.12,7.8961806086154915,0
Germany,DEU,60.64,9.393411647660683,2
Djibouti,DJI,52.08,7.192182058713246,0
