country_name,country_code,2020-06_gov,2020-06_cases,Cluster
Dominica,DMA,67.19,1.0986122886681098,1
Denmark,DNK,57.13,7.003065458786462,1
Dominican Republic,DOM,67.81,9.63456180856679,2
Algeria,DZA,56.82,8.414938957377482,2
Ecuador,ECU,71.56,9.760482858119124,2
Egypt,EGY,64.48,10.676531276241942,2
Eritrea,ERI,65.1,5.10594547390058,1
Spain,ESP,55.47,9.189423123720795,2
Estonia,EST,39.06,4.795790545596741,0
Ethiopia,ETH,58.33,8.449984441722787,2
Finland,FIN,42.22,5.87493073085203,0
Fiji,FJI,65.08,0.0,1
France,FRA,61.19,9.075436609511382,2
Faeroe Islands,FRO,46.74,0.0,3
Gabon,GAB,75.0,7.9157131993821155,2
United Kingdom,GBR,70.28,10.224338408254384,2
Georgia,GEO,55.47,4.983606621708336,1
Ghana,GHA,54.79,9.176990392294629,2
Guinea,GIN,64.27,7.430114138561801,2
Gambia,GMB,53.07,3.2188758248682006,1
Greece,GRC,57.33,6.20050917404269,1
Greenland,GRL,44.93,0.0,3
Guatemala,GTM,76.56,9.47347357150655,2
Guam,GUM,56.67,4.454347296253507,1
Guyana,GUY,68.06,4.532599493153256,1
Hong Kong,HKG,55.83,4.804021044733257,1
Honduras,HND,81.74,9.571992907127694,2
Croatia,HRV,57.85,6.2766434893416445,1
Haiti,HTI,60.9,8.357962965845681,2
Hungary,HUN,56.72,5.634789603169249,1
Indonesia,IDN,56.37,10.306048447496902,2
India,IND,74.48,12.886319473197606,2
Ireland,IRL,64.03,6.182084906716632,1
Iran,IRN,44.79,11.241077370820976,0
Iraq,IRQ,76.04,10.661274811576522,2
Iceland,ISL,51.56,2.9444389791664403,1
Israel,ISR,71.98,9.031213706078747,2
Italy,ITA,68.04,8.93353229607628,2
Jamaica,JAM,61.59,4.762173934797756,1
Jordan,JOR,43.93,5.976350909297934,0
Japan,JPN,40.8,7.5310163320779155,0
Kazakhstan,KAZ,67.97,9.34583234141334,2
Kenya,KEN,70.05,8.39049553837028,2
Kyrgyz Republic,KGZ,61.98,8.231908243564177,2
Cambodia,KHM,34.38,2.833213344056216,3
Kiribati,KIR,14.58,0.0,3
South Korea,KOR,58.31,7.206377291472252,1
Kuwait,KWT,69.91,9.860214640302662,2
Laos,LAO,44.7,0.0,3
Lebanon,LBN,61.98,6.326149473155099,1
Liberia,LBR,58.24,6.19644412779452,1
Libya,LBY,63.26,6.505784060128229,1
Liechtenstein,LIE,45.14,0.0,3
Sri Lanka,LKA,58.4,6.028278520230698,1
Lesotho,LSO,46.53,3.258096538021482,3
Lithuania,LTU,46.04,4.983606621708336,0
Luxembourg,LUX,54.95,5.641907070938114,1
Latvia,LVA,56.09,3.970291913552122,1
Macao,MAC,43.71,0.6931471805599453,3
Morocco,MAR,74.97,8.461046030793236,2
Monaco,MCO,61.46,1.6094379124341003,1
Moldova,MDA,69.79,9.031572493381526,2
Madagascar,MDG,56.86,7.275172319452771,1
Mexico,MEX,52.98,11.816180644659811,2
Mali,MLI,49.03,6.821107472256465,0
Malta,MLT,56.88,3.970291913552122,1
Myanmar,MMR,62.4,4.330733340286331,1
Mongolia,MNG,57.81,3.7376696182833684,1
Mozambique,MOZ,59.48,6.455198563340122,1
Mauritania,MRT,61.77,8.251663923605589,2
Mauritius,MUS,55.42,1.9459101490553132,1
Malawi,MWI,56.25,6.846943139585379,1
Malaysia,MYS,65.4,6.710523109452428,1
Namibia,NAM,52.17,5.204006687076795,1
Niger,NER,27.6,4.770684624465665,3
Nigeria,NGA,67.06,9.650722071987907,2
Nicaragua,NIC,14.58,7.473637108496206,0
Netherlands,NLD,61.84,8.251142139090751,2
Norway,NOR,38.85,6.0867747269123065,0
Nepal,NPL,69.79,9.392078425231722,2
New Zealand,NZL,36.84,3.2188758248682006,3
Oman,OMN,75.62,10.262350101920273,2
Pakistan,PAK,57.14,11.856593180501754,2
Panama,PAN,72.95,9.907877900837422,2
Peru,PER,76.39,11.701378187694424,2
Philippines,PHL,60.07,9.874522074243114,2
Papua New Guinea,PNG,51.82,1.3862943611198906,3
Poland,POL,46.7,9.269363712425644,0
Puerto Rico,PRI,69.27,6.0063531596017325,1
Portugal,PRT,59.05,9.173883834965567,2
Paraguay,PRY,66.21,7.119635638017636,1
Palestine,PSE,59.9,7.591357046698551,1
Qatar,QAT,68.75,10.575896167946674,2
Kosovo,RKS,52.34,7.455876687491824,0
Romania,ROU,47.33,8.950792138768174,0
Russia,RUS,64.69,12.39291314318009,2
Rwanda,RWA,70.82,6.486160788944089,1
Saudi Arabia,SAU,72.01,11.56706321006943,2
Sudan,SDN,59.38,8.427924723658055,2
Senegal,SEN,59.27,8.054840221101024,2
Singapore,SGP,68.58,9.10764297373784,2
Solomon Islands,SLB,21.67,0.0,3
Sierra Leone,SLE,54.79,6.400257445308821,1
El Salvador,SLV,82.34,8.274357006756292,2
San Marino,SMR,43.82,3.295836866004329,3
Somalia,SOM,37.85,6.855408798609928,0
Serbia,SRB,36.1,8.056109659545061,0
South Sudan,SSD,65.1,6.921658184151129,1
Suriname,SUR,69.41,6.20050917404269,1
Slovak Republic,SVK,55.42,4.990432586778736,1
Slovenia,SVN,47.43,4.852030263919617,0
Sweden,SWE,52.6,10.284113370630648,2
Eswatini,SWZ,57.81,6.269096283706261,1
Seychelles,SYC,28.96,4.2626798770413155,3
Syria,SYR,46.35,5.062595033026967,0
Chad,TCD,57.08,4.48863636973214,1
Togo,TGO,51.81,5.342334251964811,1
Thailand,THA,64.34,4.51085950651685,1
Tajikistan,TJK,48.39,7.646831391430482,0
Turkmenistan,TKM,19.37,0.0,3
Timor-Leste,TLS,46.19,0.0,3
Tonga,TON,34.9,0.0,3
Trinidad and Tobago,TTO,68.89,2.6390573296152584,1
Tunisia,TUN,41.36,4.584967478670572,0
Turkey,TUR,65.84,10.490301522301456,2
Taiwan,TWN,37.03,1.791759469228055,3
Tanzania,TZA,23.56,0.0,3
Uganda,UGA,69.74,6.159095388491933,1
Ukraine,UKR,58.17,9.97966124675897,2
Uruguay,URY,54.41,4.736198448394496,1
United States,USA,65.04,13.645126662903362,2
Uzbekistan,UZB,64.24,8.493105395887147,2
Venezuela,VEN,62.81,8.371704884667631,2
United States Virgin Islands,VIR,32.81,2.5649493574615367,3
Vietnam,VNM,54.37,3.332204510175204,1
Vanuatu,VUT,49.79,0.0,3
Yemen,YEM,39.06,6.728628613084702,0
South Africa,ZAF,76.53,11.682896061705152,2
Zambia,ZMB,39.79,6.2878585601617845,0
Zimbabwe,ZWE,56.04,6.025865973825314,1
