CountryName_x,CountryCode_x,RegionName,RegionCode_x,Jurisdiction,Date,C1_School closing,C1_Flag,C2_Workplace closing,C2_Flag,C3_Cancel public events,C3_Flag,C4_Restrictions on gatherings,C4_Flag,C5_Close public transport,C5_Flag,C6_Stay at home requirements,C6_Flag,C7_Restrictions on internal movement,C7_Flag,C8_International travel controls,E1_Income support,E1_Flag,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H1_Flag,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6_Facial Coverings,H6_Flag,H7_Vaccination policy,H7_Flag,H8_Protection of elderly people,H8_Flag,M1_Wildcard,V1_Vaccine Prioritisation (summary),V2A_Vaccine Availability (summary),V2B_Vaccine age eligibility/availability age floor (general population summary),V2C_Vaccine age eligibility/availability age floor (at risk summary),V2D_Medically/ clinically vulnerable (Non-elderly),V2E_Education,V2F_Frontline workers  (non healthcare),V2G_Frontline workers  (healthcare),V3_Vaccine Financial Support (summary),ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,StringencyLegacyIndex,StringencyLegacyIndexForDisplay,GovernmentResponseIndex,GovernmentResponseIndexForDisplay,ContainmentHealthIndex,ContainmentHealthIndexForDisplay,EconomicSupportIndex,EconomicSupportIndexForDisplay,CountryName_y,CountryCode_y,RegionCode_y,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_clustered,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,ConfirmedCasesAtEOM,ConfirmedDeathsAtEOM
United States,USA,Alabama,US_AL,STATE_TOTAL,2020-01-31,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.21,5.21,5.95,5.95,0.0,0.0,United States,USA,US_AL,5024279.0,2512466.0,2681479.0,,,,,,,621981.0,660970.0,701742.0,680141.0,613936.0,666838.0,645125.0,414601.0,188612.0,0.0,0.0
United States,USA,Alabama,US_AL,STATE_TOTAL,2020-02-29,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.21,5.21,5.95,5.95,0.0,0.0,United States,USA,US_AL,5024279.0,2512466.0,2681479.0,,,,,,,621981.0,660970.0,701742.0,680141.0,613936.0,666838.0,645125.0,414601.0,188612.0,0.0,0.0
United States,USA,Alabama,US_AL,STATE_TOTAL,2020-03-31,3.0,1.0,3.0,1.0,2.0,1.0,4.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,,0.0,,3.0,1.0,,,,,,,,,,,1063.0,23.0,73.61,73.61,77.38,77.38,65.89,65.89,66.37,66.37,62.5,62.5,United States,USA,US_AL,5024279.0,2512466.0,2681479.0,,,,,,,621981.0,660970.0,701742.0,680141.0,613936.0,666838.0,645125.0,414601.0,188612.0,1063.0,23.0
United States,USA,Alabama,US_AL,STATE_TOTAL,2020-04-30,3.0,0.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,,3.0,1.0,,,,,,,,,,,7187.0,272.0,72.22,72.22,75.0,75.0,66.67,66.67,67.26,67.26,62.5,62.5,United States,USA,US_AL,5024279.0,2512466.0,2681479.0,,,,,,,621981.0,660970.0,701742.0,680141.0,613936.0,666838.0,645125.0,414601.0,188612.0,7187.0,272.0
United States,USA,Alabama,US_AL,STATE_TOTAL,2020-05-31,3.0,0.0,2.0,0.0,2.0,0.0,0.0,,1.0,0.0,2.0,0.0,1.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,,3.0,1.0,,,,,,,,,,,18200.0,630.0,56.48,56.48,66.67,66.67,60.16,60.16,59.82,59.82,62.5,62.5,United States,USA,US_AL,5024279.0,2512466.0,2681479.0,,,,,,,621981.0,660970.0,701742.0,680141.0,613936.0,666838.0,645125.0,414601.0,188612.0,18200.0,630.0
United States,USA,Alabama,US_AL,STATE_TOTAL,2020-06-30,3.0,0.0,1.0,1.0,1.0,1.0,0.0,,1.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,0.0,,3.0,1.0,,,,,,,,,,,38477.0,950.0,50.0,50.0,66.67,66.67,58.59,58.59,58.04,58.04,62.5,62.5,United States,USA,US_AL,5024279.0,2512466.0,2681479.0,,,,,,,621981.0,660970.0,701742.0,680141.0,613936.0,666838.0,645125.0,414601.0,188612.0,38477.0,950.0
United States,USA,Alabama,US_AL,STATE_TOTAL,2020-07-31,3.0,0.0,1.0,1.0,1.0,1.0,0.0,,1.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,2.0,0.0,0.0,3.0,1.0,0.0,,3.0,1.0,,,,,,,,,,,88266.0,1580.0,50.0,50.0,66.67,66.67,56.25,56.25,58.93,58.93,37.5,37.5,United States,USA,US_AL,5024279.0,2512466.0,2681479.0,,,,,,,621981.0,660970.0,701742.0,680141.0,613936.0,666838.0,645125.0,414601.0,188612.0,88266.0,1580.0
United States,USA,Alabama,US_AL,STATE_TOTAL,2020-08-31,2.0,0.0,2.0,0.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,2.0,0.0,0.0,3.0,1.0,0.0,,3.0,1.0,,,,,,,,,,,126500.0,2182.0,45.37,45.37,58.33,58.33,53.65,53.65,55.95,55.95,37.5,37.5,United States,USA,US_AL,5024279.0,2512466.0,2681479.0,,,,,,,621981.0,660970.0,701742.0,680141.0,613936.0,666838.0,645125.0,414601.0,188612.0,126500.0,2182.0
United States,USA,Alabama,US_AL,STATE_TOTAL,2020-09-30,2.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,2.0,0.0,0.0,3.0,1.0,0.0,,3.0,1.0,,,,,,,,,,,154772.0,2540.0,43.52,43.52,58.33,58.33,52.6,52.6,54.76,54.76,37.5,37.5,United States,USA,US_AL,5024279.0,2512466.0,2681479.0,,,,,,,621981.0,660970.0,701742.0,680141.0,613936.0,666838.0,645125.0,414601.0,188612.0,154772.0,2540.0
United States,USA,Alabama,US_AL,STATE_TOTAL,2020-10-31,2.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,3.0,1.0,0.0,,2.0,1.0,,,,,,,,,,,193613.0,2967.0,43.52,43.52,58.33,58.33,47.4,47.4,48.81,48.81,37.5,37.5,United States,USA,US_AL,5024279.0,2512466.0,2681479.0,,,,,,,621981.0,660970.0,701742.0,680141.0,613936.0,666838.0,645125.0,414601.0,188612.0,193613.0,2967.0
