country_code,country_name,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12
MLI,Mali,0.0,0.0,13.02,54.06,52.55,49.03,48.56,45.83,44.65,40.92,34.38,42.67,44.04,42.19,43.44,46.77,46.61,46.15,39.15,42.34,47.36,47.58,47.19,47.19
MLT,Malta,2.59,12.11,43.9,75.31,77.14,56.88,45.71,51.06,53.12,56.52,60.42,60.62,63.12,64.17,72.1,75.87,68.91,64.79,59.43,58.15,57.81,57.81,57.81,57.81
MMR,Myanmar,0.0,1.56,19.24,55.12,61.26,62.4,62.28,60.72,62.84,71.01,78.13,72.75,73.53,68.18,75.15,74.55,70.21,66.05,66.76,67.24,67.84,80.02,73.07,72.19
MNG,Mongolia,10.05,47.18,50.39,57.03,61.21,57.81,53.58,56.37,52.07,45.53,64.15,72.36,69.08,69.05,65.15,75.64,65.92,59.12,60.38,59.1,52.01,47.71,47.71,47.71
MOZ,Mozambique,0.0,3.07,14.52,42.19,47.72,59.48,61.11,56.34,56.77,52.52,46.64,43.38,44.0,47.69,49.78,53.09,52.02,51.07,51.13,43.03,41.98,41.98,41.98,40.73
MRT,Mauritania,0.0,2.69,24.26,56.25,59.75,61.77,40.85,34.9,29.67,25.0,25.0,46.03,43.08,40.67,36.87,38.93,42.16,45.42,41.21,41.4,45.42,43.28,49.23,49.27
MUS,Mauritius,0.0,0.0,21.25,62.66,64.45,55.42,41.15,41.15,41.15,35.77,29.69,29.69,35.15,41.99,72.84,85.5,75.65,79.39,66.14,65.79,63.71,57.87,61.8,64.58
MWI,Malawi,0.0,2.04,14.11,46.63,56.25,56.25,51.81,54.54,46.65,43.49,45.31,45.31,45.85,45.84,50.44,56.99,49.52,44.07,53.81,49.68,39.64,34.56,42.31,42.71
MYS,Malaysia,6.21,19.27,40.73,73.61,71.72,65.4,59.23,67.1,66.9,67.37,76.98,71.98,74.08,76.75,74.82,67.08,76.83,76.36,80.2,75.36,68.64,64.06,60.91,60.68
NAM,Namibia,0.0,0.0,22.73,55.56,54.64,52.17,49.32,51.66,56.44,43.0,34.93,36.41,41.46,44.5,44.33,47.55,47.23,57.19,70.13,51.46,47.66,45.42,44.58,39.17
