country_code,country_name,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12
BHS,Bahamas,1.01,3.44,35.5,83.29,84.11,75.55,62.04,67.58,65.36,62.89,61.2,58.98,58.33,58.7,60.91,65.64,68.48,68.09,64.76,65.8,58.14,51.27,47.14,47.14
BIH,Bosnia and Herzegovina,0.0,0.36,35.7,69.08,61.74,45.66,45.16,46.15,37.6,37.28,40.8,39.97,43.06,45.3,44.31,47.16,48.17,44.29,40.26,36.75,42.5,42.5,43.54,45.62
BLR,Belarus,0.0,0.0,4.28,26.6,33.85,33.85,33.85,33.85,33.85,34.15,39.01,40.25,42.35,41.61,41.61,41.61,42.47,45.42,38.22,39.24,35.73,31.21,23.91,23.75
BLZ,Belize,0.0,3.02,23.13,55.87,64.03,59.89,60.92,65.01,65.61,63.41,62.81,65.62,65.72,66.15,63.17,58.04,63.09,70.02,70.72,71.88,68.58,61.17,63.44,65.1
BMU,Bermuda,2.82,18.3,27.59,68.17,64.51,63.02,53.08,51.43,49.76,40.54,41.04,52.18,53.16,50.46,55.89,67.99,61.55,55.64,50.0,54.87,56.11,57.43,59.51,58.85
BOL,Bolivia,4.17,4.17,32.41,66.25,67.88,70.43,67.71,67.71,63.02,63.02,62.97,43.58,38.6,32.97,35.28,38.75,38.96,42.15,55.83,62.17,53.96,45.07,44.07,47.14
BRA,Brazil,0.91,5.21,30.34,63.18,67.91,67.71,69.2,65.04,63.9,60.24,56.56,59.47,56.75,54.47,53.64,53.33,49.86,51.72,49.21,45.04,48.75,46.4,41.58,41.46
BRB,Barbados,3.02,11.46,26.23,68.37,68.63,62.57,52.37,48.64,46.7,43.6,48.44,47.46,57.46,66.87,67.51,71.32,72.02,66.11,54.09,57.64,69.27,60.11,61.46,61.46
BRN,Brunei,8.67,15.08,30.59,50.52,49.85,47.57,47.08,43.97,42.81,41.93,43.75,43.75,43.75,43.75,46.87,41.87,45.14,44.79,46.71,66.13,71.88,71.88,71.88,71.88
BTN,Bhutan,3.48,9.25,29.97,64.31,68.97,70.31,63.95,76.85,78.18,68.75,64.86,68.31,71.38,53.9,60.16,74.52,74.35,71.18,69.0,73.31,70.21,67.76,63.35,66.41
BWA,Botswana,4.13,7.81,20.88,60.99,59.39,51.22,49.83,47.67,49.48,52.96,46.42,45.31,47.03,49.81,53.71,55.16,54.14,59.63,57.17,61.89,53.23,46.06,31.3,31.25
CAF,Central African Republic,0.0,0.0,11.7,44.2,50.1,48.17,41.71,40.66,49.58,42.49,31.59,24.28,18.67,19.27,14.11,15.81,14.19,10.83,10.83,24.64,25.68,28.44,28.44,28.44
CAN,Canada,4.1,6.77,35.78,61.59,61.58,61.54,60.79,64.95,63.51,60.1,62.74,65.43,69.13,70.42,69.14,70.42,70.92,70.64,66.94,60.25,64.75,65.12,66.67,66.67
CHE,Switzerland,0.0,3.97,41.28,60.16,57.81,47.26,46.27,48.7,45.66,42.17,56.61,58.09,60.19,60.31,61.19,60.98,56.25,53.38,52.1,51.56,54.69,56.77,56.77,56.77
CHL,Chile,0.0,0.0,23.54,65.05,67.55,70.84,77.23,78.39,78.39,78.39,78.53,78.17,80.16,81.19,82.98,85.61,84.38,87.55,79.08,64.89,61.51,43.35,42.24,46.93
CHN,China,22.51,60.72,63.09,54.71,64.48,68.63,68.49,68.49,58.28,60.76,69.02,75.12,75.21,73.06,63.68,74.91,71.05,71.55,74.32,77.86,77.86,77.86,76.61,70.92
CIV,Cote d'Ivoire,0.0,0.0,23.91,58.6,53.52,52.54,53.88,43.8,44.96,42.82,36.2,32.77,31.35,35.32,39.64,43.54,43.58,40.54,40.62,40.27,39.86,39.9,39.9,39.9
CMR,Cameroon,0.0,0.65,17.96,48.0,47.92,50.52,50.52,49.3,48.32,42.47,39.43,23.61,26.16,25.52,26.63,27.55,23.89,23.44,23.44,31.4,30.68,38.83,30.99,29.69
COD,Democratic Republic of Congo,0.0,0.54,25.72,58.05,62.24,62.24,57.7,44.34,42.19,33.7,21.61,22.59,24.7,31.27,23.66,23.86,30.69,34.04,38.21,32.9,32.5,35.56,39.79,39.79
COG,Congo,0.0,0.0,14.58,75.68,76.45,55.7,51.51,45.63,39.27,35.75,37.62,31.85,35.99,33.72,35.89,43.82,48.78,46.88,45.56,39.98,35.26,38.14,37.71,33.85
COL,Colombia,1.8,9.28,34.75,79.46,81.59,81.25,80.71,80.21,59.48,58.6,59.9,57.29,71.06,71.51,70.1,73.47,67.06,64.2,61.21,58.85,58.85,56.97,57.29,59.9
COM,Comoros,,,,,,,,,,,,,,,,,,,,,,,,
CPV,Cape Verde,0.0,5.23,25.19,65.28,72.26,75.19,69.5,66.0,68.13,68.2,70.1,67.28,64.5,61.98,51.03,59.22,59.48,59.48,59.48,59.48,55.21,58.87,42.19,42.19
CRI,Costa Rica,2.69,14.15,34.59,56.93,55.21,56.28,56.8,54.77,53.72,52.0,51.51,52.07,60.0,56.87,56.03,59.04,60.66,59.79,57.26,57.08,58.2,57.39,55.0,53.12
CUB,Cuba,0.81,6.73,22.06,65.14,78.6,77.94,58.45,69.32,74.72,58.13,52.76,51.04,61.9,67.12,67.19,68.98,71.97,73.59,68.49,71.86,74.93,72.14,54.51,39.06
CYP,Cyprus,0.0,0.0,38.98,80.7,80.29,67.78,59.46,60.92,62.64,64.1,75.45,77.69,85.31,85.0,79.19,77.22,75.76,64.94,62.57,64.23,64.37,61.59,62.5,62.5
CZE,Czech Republic,1.51,9.49,48.25,71.48,61.62,46.12,42.87,42.97,46.04,58.64,70.08,69.66,77.67,79.16,77.13,67.08,59.96,56.58,52.89,54.17,54.69,58.13,55.99,53.65
DEU,Germany,3.16,14.19,40.2,65.09,61.37,60.64,56.43,57.06,52.88,55.53,56.73,62.72,67.06,66.52,65.7,67.29,68.2,68.42,68.75,64.33,62.5,54.49,60.97,77.63
DJI,Djibouti,0.0,0.0,23.19,63.64,60.94,52.08,49.82,45.65,45.24,41.82,39.58,39.58,34.38,34.38,36.31,39.39,39.53,44.37,44.53,45.62,44.06,36.25,36.25,36.25
DMA,Dominica,0.0,0.0,8.7,60.4,64.97,67.19,53.65,49.87,42.92,38.44,39.64,43.48,37.1,40.49,43.33,43.75,42.64,43.75,42.54,62.67,70.07,72.4,72.4,72.4
DNK,Denmark,0.0,0.97,39.63,58.3,60.92,57.13,55.85,53.21,53.56,48.74,52.74,57.79,67.81,64.02,62.18,62.61,59.55,57.81,54.14,54.17,42.87,39.58,44.9,51.04
DOM,Dominican Republic,0.0,0.0,31.94,67.99,73.7,67.81,64.35,65.62,65.62,60.59,58.28,58.28,60.94,62.19,63.44,62.66,62.45,65.1,64.14,62.4,60.96,54.43,47.08,45.83
DZA,Algeria,0.0,0.0,23.27,59.17,54.73,56.82,63.2,67.39,65.1,64.93,62.73,63.02,63.14,63.7,67.22,69.16,64.26,58.07,56.69,55.83,58.2,55.21,49.58,49.58
ECU,Ecuador,0.6,3.12,41.28,77.6,74.36,71.56,70.13,67.94,59.85,54.81,55.21,60.11,65.87,68.09,59.61,65.44,70.81,67.2,67.73,69.88,68.08,69.24,68.28,68.28
EGY,Egypt,0.0,4.6,27.44,67.61,71.74,64.48,56.77,58.23,60.94,59.61,58.28,59.34,60.42,58.02,57.73,54.27,61.3,47.54,48.02,48.02,48.02,48.02,46.88,46.46
ERI,Eritrea,0.0,0.0,16.21,60.94,60.94,65.1,63.36,63.02,61.77,61.98,65.87,66.22,69.27,70.91,73.65,58.19,52.6,52.44,51.04,48.02,41.67,41.67,49.44,50.0
ESP,Spain,0.94,13.93,38.91,66.57,66.74,55.47,58.46,60.33,59.32,62.33,66.67,68.28,69.98,68.61,67.72,68.13,66.18,59.32,56.23,58.59,56.93,56.91,56.61,58.07
EST,Estonia,0.0,0.0,28.54,61.42,56.01,39.06,35.74,35.59,38.09,37.94,40.31,46.32,46.43,44.57,61.87,66.04,50.06,43.09,32.56,32.38,34.69,37.96,42.19,42.19
ETH,Ethiopia,0.2,2.71,18.4,54.69,58.33,58.33,60.85,62.87,66.67,57.41,48.44,48.44,48.44,42.97,42.29,44.37,44.37,44.37,45.14,45.34,45.62,45.62,45.62,45.62
FIN,Finland,0.5,7.83,37.97,56.93,53.83,42.22,40.89,40.67,40.62,42.59,45.6,51.55,54.16,54.32,56.05,56.35,56.35,55.52,54.14,53.36,51.95,48.44,48.5,52.34
FJI,Fiji,2.02,10.62,35.17,72.85,68.21,65.08,59.48,58.33,58.33,56.82,56.77,56.77,56.77,56.77,57.42,58.94,62.0,68.85,68.85,77.13,79.22,80.81,80.21,80.21
FRA,France,3.06,13.19,55.91,75.0,71.09,61.19,52.08,54.98,55.61,54.38,69.32,64.02,63.38,63.68,66.63,71.44,65.22,59.57,54.81,65.8,66.62,64.89,65.26,65.62
FRO,Faeroe Islands,0.0,0.0,27.57,52.54,50.7,46.74,47.56,50.84,49.84,49.48,50.42,52.03,43.22,45.64,52.07,50.49,44.98,47.76,48.85,40.82,26.0,27.47,40.62,40.62
GAB,Gabon,1.01,6.84,27.82,66.84,73.52,75.0,76.98,76.04,76.04,74.38,70.38,68.67,68.36,64.58,59.31,57.83,58.75,58.75,58.75,58.62,57.02,52.34,51.08,43.12
GBR,United Kingdom,2.27,14.53,31.66,65.7,64.81,70.28,67.42,69.07,65.79,67.55,68.13,73.49,83.35,83.44,78.27,69.93,68.05,63.68,61.29,57.81,56.72,48.29,50.0,50.0
GEO,Georgia,1.21,12.09,44.09,73.11,73.18,55.47,50.84,51.59,55.47,53.34,56.47,68.82,68.63,63.6,57.14,59.79,59.79,57.02,38.04,48.43,53.47,47.24,46.86,48.96
GHA,Ghana,0.4,1.56,22.46,60.64,54.65,54.79,48.44,48.44,43.75,43.55,40.62,40.62,39.95,41.29,44.91,47.99,46.76,44.8,40.61,41.54,44.58,44.58,44.58,44.58
GIN,Guinea,1.21,10.42,20.28,60.78,65.62,64.27,64.03,61.45,59.06,40.93,40.0,40.14,41.95,43.32,48.17,55.66,52.08,53.33,59.17,59.8,53.23,52.87,53.16,54.48
GMB,Gambia,0.0,2.8,23.47,53.65,53.41,53.07,46.8,57.59,57.88,53.73,42.6,40.39,41.97,42.71,43.15,40.83,42.32,39.52,46.68,42.87,38.42,36.61,28.75,28.75
GRC,Greece,0.0,1.24,34.33,63.25,59.84,57.33,61.54,64.09,67.02,66.9,78.26,81.73,82.99,82.43,88.83,85.86,77.7,63.51,68.2,77.56,81.57,82.03,82.03,82.03
GRL,Greenland,0.0,0.0,28.98,56.44,50.32,44.93,37.0,34.65,36.04,33.53,36.67,36.39,44.54,46.17,46.88,47.81,54.14,52.71,46.67,45.17,43.49,43.49,41.65,38.02
GTM,Guatemala,1.01,6.25,35.11,68.33,76.56,76.56,75.72,72.06,68.18,47.66,47.66,48.11,51.0,46.55,53.21,49.74,53.6,53.54,54.54,60.66,72.45,60.86,53.46,51.67
GUM,Guam,0.0,4.96,24.19,49.81,56.57,56.67,55.96,61.96,63.64,58.13,56.25,59.37,61.14,54.94,48.02,50.52,48.02,50.0,50.0,50.27,54.07,56.45,49.13,44.79
GUY,Guyana,0.7,7.38,24.73,67.74,69.79,68.06,66.73,65.05,66.54,66.76,64.06,59.22,51.04,60.28,61.92,67.57,69.35,66.25,64.38,62.97,69.19,70.31,68.75,68.75
HKG,Hong Kong,15.1,43.75,55.45,65.54,64.15,55.83,61.71,73.04,69.96,63.54,63.19,71.2,71.35,71.75,76.07,76.68,77.6,77.6,75.18,73.26,70.83,70.24,67.19,67.19
HND,Honduras,0.0,0.0,40.47,77.92,80.31,81.74,81.25,74.65,67.38,68.36,69.27,69.72,71.67,63.5,63.92,66.06,70.49,71.16,71.63,71.48,74.01,66.98,59.69,56.56
HRV,Croatia,0.6,15.41,43.1,80.52,70.23,57.85,56.75,52.08,45.0,44.78,47.69,61.24,57.76,54.06,49.35,57.05,52.83,46.57,45.77,44.98,50.47,51.18,50.19,51.04
HTI,Haiti,0.0,1.4,25.66,56.47,59.31,60.9,47.04,29.8,32.98,42.71,41.98,36.73,36.93,43.15,42.78,42.92,45.23,56.25,58.29,53.64,59.48,63.02,63.02,63.02
HUN,Hungary,0.81,6.61,41.33,66.72,64.04,56.72,54.43,50.2,41.23,38.84,59.77,62.22,64.24,65.33,70.17,69.77,63.68,55.28,41.67,40.26,39.58,41.6,37.17,36.98
IDN,Indonesia,3.93,16.29,27.32,54.27,59.23,56.37,52.86,51.8,56.21,50.75,48.7,53.65,56.45,62.81,68.39,68.39,68.39,68.39,68.55,69.64,68.57,58.61,55.21,55.78
IND,India,2.59,15.1,49.19,86.87,77.64,74.48,71.35,70.31,69.96,63.56,61.29,64.06,65.6,67.53,67.32,68.83,71.71,72.97,71.83,67.73,65.28,58.26,51.98,57.03
IRL,Ireland,0.0,4.16,34.44,74.48,74.06,64.03,50.57,63.88,65.45,68.08,77.39,71.19,81.63,85.83,84.52,83.68,72.93,66.81,64.6,65.1,64.34,62.99,65.1,65.1
IRN,Iran,0.0,2.55,30.64,40.28,42.34,44.79,52.81,57.37,55.63,47.99,52.26,55.03,59.43,64.4,66.0,67.68,64.48,64.07,61.82,63.25,64.84,68.45,64.53,61.51
IRQ,Iraq,0.0,7.47,50.5,65.83,68.7,76.04,76.11,75.48,63.97,54.6,48.82,47.89,48.03,52.73,67.6,62.35,66.15,61.38,65.36,65.36,65.36,64.81,54.16,43.75
